date,region,state,cases,deaths
2020-04-09,Norte,PA,168.0,7.0
2020-04-09,Nordeste,PB,55.0,7.0
2020-04-09,Nordeste,PE,548.0,55.0
2020-04-09,Nordeste,PI,38.0,6.0
2020-04-09,Sul,PR,609.0,22.0
2020-04-09,Sudeste,RJ,2215.0,122.0
2020-04-09,Nordeste,RN,249.0,11.0
2020-04-09,Norte,RO,28.0,2.0
2020-04-09,Norte,RR,52.0,1.0
2020-04-09,Sul,RS,618.0,12.0
2020-04-09,Sul,SC,490.0,17.0
2020-04-09,Nordeste,SE,39.0,4.0
2020-04-09,Sudeste,SP,7390.0,495.0
2020-04-09,Norte,TO,23.0,0.0
2020-04-10,Norte,AC,70.0,2.0
2020-04-10,Nordeste,AL,38.0,2.0
2020-04-10,Norte,AM,981.0,50.0
2020-04-10,Norte,AP,166.0,2.0
2020-04-10,Nordeste,BA,607.0,19.0
2020-04-10,Nordeste,CE,1538.0,67.0
2020-04-10,Centro-Oeste,DF,555.0,14.0
2020-04-10,Sudeste,ES,300.0,7.0
2020-04-10,Centro-Oeste,GO,188.0,8.0
2020-04-10,Nordeste,MA,293.0,16.0
2020-04-10,Sudeste,MG,682.0,17.0
2020-04-10,Centro-Oeste,MS,97.0,2.0
2020-04-10,Centro-Oeste,MT,112.0,2.0
2020-04-10,Norte,PA,170.0,9.0
2020-04-10,Nordeste,PB,79.0,11.0
2020-04-10,Nordeste,PE,676.0,64.0
2020-04-10,Nordeste,PI,40.0,7.0
2020-04-10,Sul,PR,643.0,25.0
2020-04-10,Sudeste,RJ,2463.0,147.0
2020-04-10,Nordeste,RN,255.0,11.0
2020-04-10,Norte,RO,32.0,2.0
2020-04-10,Norte,RR,63.0,3.0
2020-04-10,Sul,RS,636.0,14.0
2020-04-10,Sul,SC,682.0,18.0
2020-04-10,Nordeste,SE,42.0,4.0
2020-04-10,Sudeste,SP,8123.0,540.0
2020-04-10,Norte,TO,23.0,0.0
2020-04-11,Norte,AC,72.0,2.0
2020-04-11,Nordeste,AL,41.0,2.0
2020-04-11,Norte,AM,1050.0,53.0
2020-04-11,Norte,AP,193.0,3.0
2020-04-11,Nordeste,BA,631.0,20.0
2020-04-11,Nordeste,CE,1648.0,74.0
2020-04-11,Centro-Oeste,DF,579.0,14.0
2020-04-11,Sudeste,ES,349.0,9.0
2020-04-11,Centro-Oeste,GO,206.0,10.0
2020-04-11,Nordeste,MA,344.0,21.0
2020-04-11,Sudeste,MG,734.0,17.0
2020-04-11,Centro-Oeste,MS,100.0,2.0
2020-04-11,Centro-Oeste,MT,121.0,3.0
2020-04-11,Norte,PA,217.0,10.0
2020-04-11,Nordeste,PB,85.0,11.0
2020-04-11,Nordeste,PE,808.0,71.0
2020-04-11,Nordeste,PI,41.0,7.0
2020-04-11,Sul,PR,676.0,26.0
2020-04-11,Sudeste,RJ,2606.0,155.0
2020-04-11,Nordeste,RN,283.0,13.0
2020-04-11,Norte,RO,33.0,2.0
2020-04-11,Norte,RR,75.0,3.0
2020-04-11,Sul,RS,640.0,15.0
2020-04-11,Sul,SC,721.0,21.0
2020-04-11,Nordeste,SE,42.0,4.0
2020-04-11,Sudeste,SP,8340.0,560.0
2020-04-11,Norte,TO,23.0,0.0
2020-04-12,Norte,AC,77.0,2.0
2020-04-12,Nordeste,AL,41.0,2.0
2020-04-12,Norte,AM,1206.0,62.0
2020-04-12,Norte,AP,230.0,5.0
2020-04-12,Nordeste,BA,665.0,20.0
2020-04-12,Nordeste,CE,1726.0,76.0
2020-04-12,Centro-Oeste,DF,614.0,14.0
2020-04-12,Sudeste,ES,383.0,9.0
2020-04-12,Centro-Oeste,GO,229.0,14.0
2020-04-12,Nordeste,MA,398.0,24.0
2020-04-12,Sudeste,MG,796.0,20.0
2020-04-12,Centro-Oeste,MS,101.0,2.0
2020-04-12,Centro-Oeste,MT,123.0,3.0
2020-04-12,Norte,PA,246.0,13.0
